date,value
10/01/2021,0
12/01/2021,0
13/01/2021,0.01
14/01/2021,0.01
15/01/2021,0.01
16/01/2021,0.01
17/01/2021,0.01
18/01/2021,0.02
19/01/2021,0.02
20/01/2021,0.02
21/01/2021,0.02
02/02/2021,0.02
09/02/2021,0.04
17/02/2021,0.06
18/02/2021,0.11
29/01/2021,0
30/01/2021,0
25/01/2021,0.75
01/02/2021,1.34
10/02/2021,1.67
12/02/2021,2.1
04/02/2021,0
13/02/2021,8.94
29/12/2020,0
31/12/2020,0.07
04/01/2021,0.09
08/01/2021,0.24
13/01/2021,0.37
15/01/2021,0.44
20/01/2021,0.55
21/01/2021,0.59
22/01/2021,0.62
23/01/2021,0.64
24/01/2021,0.65
25/01/2021,0.65
26/01/2021,0.68
27/01/2021,0.7
28/01/2021,0.73
29/01/2021,0.76
30/01/2021,0.81
01/02/2021,0.83
03/02/2021,0.88
04/02/2021,0.98
06/02/2021,1.04
07/02/2021,1.11
08/02/2021,1.13
09/02/2021,1.14
10/02/2021,1.18
11/02/2021,1.27
12/02/2021,1.31
13/02/2021,1.34
14/02/2021,1.35
15/02/2021,1.35
16/02/2021,1.35
17/02/2021,1.35
18/02/2021,1.41
13/01/2021,0.24
14/01/2021,0.52
15/01/2021,0.75
16/01/2021,0.84
17/01/2021,0.91
18/01/2021,0.99
19/01/2021,1.08
20/01/2021,1.41
21/01/2021,1.7
22/01/2021,1.82
23/01/2021,1.87
24/01/2021,1.9
25/01/2021,1.97
26/01/2021,2.08
27/01/2021,2.13
28/01/2021,2.2
29/01/2021,2.32
30/01/2021,2.45
31/01/2021,2.5
01/02/2021,2.53
02/02/2021,2.68
03/02/2021,2.81
04/02/2021,2.91
05/02/2021,3.08
06/02/2021,3.16
07/02/2021,3.22
08/02/2021,3.31
09/02/2021,3.46
10/02/2021,3.66
11/02/2021,3.81
12/02/2021,4.06
13/02/2021,4.09
14/02/2021,4.15
15/02/2021,4.47
16/02/2021,4.64
17/02/2021,4.94
18/02/2021,5.17
17/01/2021,0
06/02/2021,0.64
23/12/2020,2.29
24/12/2020,2.94
25/12/2020,2.97
26/12/2020,3.03
