month,Country,post_no,value_vacc
13/12/2020,Scotland,2,0.35
13/12/2020,United Kingdom,3,0.13
20/12/2020,Scotland,2,1.1
20/12/2020,United Kingdom,3,0.99
20/12/2020,United States,3,0.17
21/12/2020,United States,3,0.18
23/12/2020,United States,3,0.3
24/12/2020,Mexico,1,0
26/12/2020,United States,3,0.58
27/12/2020,Italy,1,0.01
27/12/2020,Mexico,1,0.01
27/12/2020,Scotland,2,1.73
27/12/2020,United Kingdom,3,1.48
28/12/2020,Italy,1,0.01
28/12/2020,Mexico,1,0.01
28/12/2020,Oman,1,0.03
28/12/2020,Poland,2,0.01
28/12/2020,Portugal,2,0.05
28/12/2020,Romania,2,0.01
28/12/2020,United States,3,0.64
29/12/2020,Italy,1,0.01
29/12/2020,Mexico,1,0.01
29/12/2020,Oman,1,0.07
29/12/2020,Poland,2,0.02
29/12/2020,Portugal,2,0.16
29/12/2020,Romania,2,0.01
30/12/2020,Italy,1,0.02
30/12/2020,Mexico,1,0.02
30/12/2020,Monaco,1,0
30/12/2020,Oman,1,0.1
30/12/2020,Poland,2,0.1
30/12/2020,Portugal,2,0.26
30/12/2020,Romania,2,0.03
30/12/2020,United States,3,0.84
31/12/2020,Italy,1,0.06
31/12/2020,Oman,1,0.13
31/12/2020,Poland,2,0.13
31/12/2020,Romania,2,0.05
01/01/2021,Italy,1,0.08
01/01/2021,Romania,2,0.06
02/01/2021,Italy,1,0.15
02/01/2021,Oman,1,0.14
02/01/2021,Poland,2,0.13
02/01/2021,Romania,2,0.07
02/01/2021,United States,3,1.26
03/01/2021,Italy,1,0.2
03/01/2021,Oman,1,0.17
03/01/2021,Poland,2,0.13
03/01/2021,Portugal,2,0.31
03/01/2021,Romania,2,0.07
03/01/2021,Scotland,2,2.12
03/01/2021,United Kingdom,3,2.06
04/01/2021,Italy,1,0.32
04/01/2021,Mexico,1,0.03
04/01/2021,Oman,1,0.21
04/01/2021,Poland,2,0.24
04/01/2021,Romania,2,0.13
04/01/2021,Slovakia,2,0
04/01/2021,Spain,3,0.18
04/01/2021,United States,3,1.36
05/01/2021,Italy,1,0.45
05/01/2021,Mexico,1,0.04
05/01/2021,Oman,1,0.25
